PAÍS,CÓDIGOS PAÍS,Health_EXP,ACCES_BAS_AGUA,ANEMIA,MORTAND,TECLIMP,DESNUT
Kazakhstan,KAZ,157.07693126,95.22050548,21.6,7.15,92.9,2.6
Kenya,KEN,31.04303913,58.89260448,40.6,5.582,16,24.6
Kiribati,KIR,117.5471352,74.69890107,50.9,6.396,8.2,3.5
"Korea, Rep.",KOR,1169.90883946,99.56447646,14.2,5.6,100,2.5
Kuwait,KWT,1116.02661377,100,18.8,2.601,100,2.5
Kyrgyz Republic,KGZ,28.00947341,89.04474796,33.5,5.4,76.9,7.7
Lao PDR,LAO,17.78049727,79.59784865,41.4,6.508,7.2,5.6
Latvia,LVA,488.53239027,98.57676426,19.3,14.8,100,2.5
Lebanon,LBN,279.74385785,91.58075057,22,4.263,,6.7
Lesotho,LSO,51.89301051,70.85738563,50.3,14.656,38.7,26
Liberia,LBR,9.88955277,73.15081745,72.7,7.729,0.4,36.6
Lithuania,LTU,650.03190771,97.07374572,17.5,14.2,100,2.5
Luxembourg,LUX,4623.00433733,99.90687145,10.6,7.1,100,2.5
Madagascar,MDG,11.28941048,49.78933803,49.7,6.185,0.900000000000001,42.3
Malawi,MWI,8.58876543,66.94335879,56.8,6.811,1.3,16.5
Malaysia,MYS,185.44413416,97.06169435,22.5,5.014,96.1,3.4
Maldives,MDV,683.87306073,99.11409317,36.3,2.883,98.8,
Mali,MLI,9.43715412,76.04238647,81,9.984,0.900000000000001,6.3
Malta,MLT,1462.9821721,99.99999869,16.1,7.6,100,2.5
Marshall Islands,MHL,242.00258076,88.41369959,40.8,,63.4,
Mauritania,MRT,18.43224393,68.83201748,67.7,7.339,43.3,8.6
Mauritius,MUS,244.03611774,99.86639665,27.9,8,97,5.9
Mexico,MEX,249.02669485,98.45286453,22.2,5.933,84.8,6.1
"Micronesia, Fed. Sts.",FSM,104.84474445,88.30815668,37.2,6.534,12.7,
Moldova,MDA,83.52591214,88.96917224,26.3,11.528,95.6,
Monaco,MCO,2365.16682787,100,13.3,,100,
Mongolia,MNG,96.07394253,81.72957231,20.7,6.299,48.7,6.3
Montenegro,MNE,361.89262,97.6373839,14.5,10.5,61.8,2.5
Morocco,MAR,65.50721199,85.11293354,30.1,5.072,97.9,3.7
Mozambique,MOZ,7.00548446,53.55726711,66.1,8.964,4.6,31.4
Myanmar,MMR,8.10248629,75.56637556,49.6,8.206,26.4,8.1
Namibia,NAM,198.78433792,82.90021701,46.7,8.23,46,20
Nauru,NRU,938.66435359,100,43.7,,100,
Nepal,NPL,8.97753768,88.27710856,44.6,6.404,32.3,4.2
Netherlands,NLD,3112.72483205,100.0000014,14.1,8.8,100,2.5
New Zealand,NZL,2793.13195923,100.0000013,14.1,6.92,100,2.5
Nicaragua,NIC,98.02805693,81.41597396,19,5.049,53.8,17.6
Niger,NER,5.48254453,45.8187016,74.5,8.529,2.1,
Nigeria,NGA,10.33533363,70.54093551,70.9,12.114,10.7,10
North Macedonia,MKD,208.45975082,97.5252827,24.2,9.8,76.8,2.7
Norway,NOR,6400.70000001,100.0000035,12.5,7.7,100,2.5
Oman,OMN,566.15846639,90.68742325,25.6,2.462,100,8.4
Pakistan,PAK,11.76529179,89.59636844,55.4,6.994,46.3,12.1
Palau,PLW,1061.99588152,99.64526892,34.2,10.3,100,
Panama,PAN,688.85115805,93.23054291,18.5,5.048,87.6,7.5
Papua New Guinea,PNG,42.11017144,42.25107578,47.6,7.521,9,25.1
Paraguay,PRY,167.61777984,98.10319856,29.2,5.465,67.4,7.8
Peru,PER,193.3124352,90.86111165,32.5,5.438,81.5,7.6
Philippines,PHL,45.29753107,92.43642247,14.7,5.839,45.4,10.9
Portugal,PRT,1154.66028991,99.90618169,13.4,10.7,100,2.5
Qatar,QAT,1492.26120977,99.62980166,21.9,1.169,100,
Romania,ROU,372.34224337,100,28.1,13.4,87.1,2.5
Russian Federation,RUS,264.75947864,96.61953404,22,12.4,89.2,2.5
Rwanda,RWA,16.63678857,57.92420961,37.5,5.308,1.4,34.5
Samoa,WSM,174.02497765,91.54020945,36.1,5.296,34.6,4.7
San Marino,SMR,2401.8581653,100,12,8.2,100,
Sao Tome and Principe,STP,44.33745195,77.61750204,60.3,4.908,2.69999999999999,11.8
Saudi Arabia,SAU,773.88649951,99.70810151,20.9,3.446,100,3.7
Senegal,SEN,13.56280571,79.86889467,70.8,5.845,25.2,7.9
Serbia,SRB,280.07852757,93.76723065,18.4,14.8,77.3,4
Seychelles,SYC,534.13655988,96.2508915,29.1,7.8,100,
Sierra Leone,SLE,9.7309965,59.03747608,76.2,12.003,0.650000000000001,26.2
Singapore,SGP,1172.31864715,100,12.6,5,100,
Slovak Republic,SVK,940.00844365,99.78751691,22.7,9.9,100,4.5
Slovenia,SVN,1326.77453475,99.5,17.2,9.9,100,2.5
Solomon Islands,SLB,70.47702868,68.54479789,40.2,4.284,8.9,17.6
South Africa,ZAF,263.25000317,92.29629284,39.6,9.498,85.7,5.5
Spain,ESP,1700.64727485,99.92650345,13.6,9.1,100,2.5
Sri Lanka,LKA,65.31818176,90.80674449,24.6,6.554,29.4,5.9
St. Kitts and Nevis,KNA,425.24985655,98.61185413,20.7,,100,
St. Lucia,LCA,203.40609433,96.00804027,21.9,7.16,94.8,
St. Vincent and the Grenadines,VCT,192.38594579,95.1452199,21,9.162,94.7,5.5
Sudan,SDN,39.01167374,60.215884,51.2,7.261,51.3,11.8
Suriname,SUR,217.87826745,96.19545677,26.4,7.277,93.3,8.4
Sweden,SWE,4786.71187504,99.80376396,13.5,9.1,100,2.5
Switzerland,CHE,2925.79361537,100.0000029,12.8,7.9,100,2.5
Tajikistan,TJK,16.05946368,77.62285312,34.6,4.961,80.9,
Tanzania,TZA,15.10728419,54.80740809,57.7,6.622,3.9,24.1
Thailand,THA,170.89178125,99.44567029,24.5,7.559,81.7,7.7
Timor-Leste,TLS,46.35492189,77.52079555,46,6.05,11.5,24
